material_id,material_name,material_application,climate_zone,durability_requirement,budget_constraint,supplier_name,availability_status,lead_time_days,project_type,project_specifications_match_score,sustainability_focus,supplier_contact_number
MAT2022,Vinyl,Insulation,Coastal,25-50 years,Luxury,Supplier_25,Limited,37,Roads and highways,0.86,Eco-friendly,+91 8713885374
MAT2023,Laminate,Decorative,Moderate,5-10 years,Luxury,Supplier_40,Limited,26,Roads and highways,0.09,Eco-friendly,+91 9781709582
MAT2024,Bamboo,Structural,Humid,50+ years,Economy,Supplier_11,Limited,26,Airports,0.86,Eco-friendly,+91 7562411160
MAT2025,Recycled Plastic,Insulation,Mountain,10-25 years,Economy,Supplier_10,In Stock,60,Infrastructure,0.1,Eco-friendly,+91 9321334334
MAT2026,Polycarbonate,Insulation,Other,25-50 years,Standard,Supplier_86,Limited,14,Commercial,0.8,Eco-friendly,+91 9450871641
MAT2027,Acrylic,Decorative,Dry,5-10 years,Premium,Supplier_88,Out of Stock,2,Other,0.5,Eco-friendly,+91 7610179969
MAT2028,Foam,Finishing,Coastal,10-25 years,Luxury,Supplier_62,In Stock,18,Airports,0.95,Eco-friendly,+91 9124597330
MAT2029,Rubber,Other,Rural,50+ years,Standard,Supplier_46,In Stock,34,Marine structures,0.73,Standard,+91 9553802633
MAT2030,Other,Insulation,Industrial,50+ years,Luxury,Supplier_92,In Stock,42,Airports,1,Standard,+91 8403005864
MAT2031,Limestone,Facade,Coastal,10-25 years,Economy,Supplier_22,Limited,20,High-rise buildings,0.12,Eco-friendly,+91 9800188482
MAT2032,Marble,Facade,Moderate,25-50 years,Standard,Supplier_92,Limited,5,Infrastructure,0.43,Standard,+91 8403005864
MAT2033,Paint,Finishing,Humid,50+ years,Luxury,Supplier_43,In Stock,29,Other,0.54,Standard,+91 9038438301
MAT2034,Granite,Other,Cold,50+ years,Luxury,Supplier_61,Out of Stock,37,Marine structures,0.31,Standard,+91 8696176323
MAT2035,Copper,Finishing,Moderate,50+ years,Standard,Supplier_16,Limited,46,Tunnels,0.38,Standard,+91 8065031990
MAT2036,Ceramic Tile,Structural,Industrial,50+ years,Standard,Supplier_35,In Stock,57,Roads and highways,0.43,Standard,+91 7672697773
MAT2037,Adhesive,Other,Mountain,5-10 years,Premium,Supplier_8,Out of Stock,23,Other,0.37,Eco-friendly,+91 8464226483
MAT2038,Brick,Structural,Coastal,5-10 years,Premium,Supplier_40,Out of Stock,48,Industrial plants,0.72,Eco-friendly,+91 9781709582
MAT2039,Wood,Structural,Cold,10-25 years,Standard,Supplier_71,Out of Stock,2,Industrial plants,0.89,Eco-friendly,+91 9665352711
MAT2040,Clay,Finishing,Hot,10-25 years,Premium,Supplier_80,Out of Stock,56,Airports,0.07,Standard,+91 8234607783
MAT2041,Fiber,Finishing,Mountain,25-50 years,Luxury,Supplier_98,Out of Stock,37,Roads and highways,0.04,Eco-friendly,+91 9267705300
MAT2042,Glass,Structural,Coastal,10-25 years,Standard,Supplier_15,Out of Stock,14,Other,0.01,Eco-friendly,+91 9855764195
MAT2043,Cement,Structural,Coastal,25-50 years,Economy,Supplier_15,In Stock,6,Infrastructure,0.37,Standard,+91 9855764195
MAT2044,Steel,Facade,Cold,5-10 years,Premium,Supplier_23,Limited,6,Residential,0.93,Standard,+91 9315879498
MAT2045,Aluminum,Finishing,Moderate,10-25 years,Economy,Supplier_58,Limited,38,Infrastructure,0.54,Eco-friendly,+91 8538848385
MAT2046,Gypsum,Flooring,Industrial,5-10 years,Economy,Supplier_77,In Stock,5,High-rise buildings,0.19,Eco-friendly,+91 9060217800
MAT2047,PVC,Flooring,Moderate,10-25 years,Premium,Supplier_31,Out of Stock,8,Airports,0.19,Standard,+91 9023009642
MAT2048,Bitumen,Finishing,Moderate,5-10 years,Economy,Supplier_77,Out of Stock,21,Residential,0.95,Standard,+91 9060217800
MAT2049,Asphalt,Decorative,Cold,25-50 years,Premium,Supplier_46,Out of Stock,4,Marine structures,0.66,Eco-friendly,+91 9553802633
MAT2050,Sandstone,Flooring,Rural,25-50 years,Luxury,Supplier_61,In Stock,12,Commercial,0.98,Standard,+91 8696176323
MAT2051,Concrete,Other,Dry,50+ years,Luxury,Supplier_17,Limited,39,Commercial,0.56,Standard,+91 8388837996
MAT2052,Plaster,Other,Hot,25-50 years,Luxury,Supplier_24,Limited,50,Roads and highways,0.73,Eco-friendly,+91 7116226044
MAT2053,Vinyl,Facade,Urban,5-10 years,Luxury,Supplier_89,Out of Stock,41,Tunnels,0.27,Standard,+91 9969226517
MAT2054,Laminate,Structural,Coastal,25-50 years,Premium,Supplier_2,Out of Stock,17,High-rise buildings,0.57,Standard,+91 9176504598
MAT2055,Bamboo,Structural,Other,10-25 years,Standard,Supplier_74,Out of Stock,27,Tunnels,0.91,Standard,+91 7134476577
MAT2056,Recycled Plastic,Structural,Humid,10-25 years,Economy,Supplier_66,In Stock,10,Tunnels,0.61,Standard,+91 8512956476
MAT2057,Polycarbonate,Structural,Cold,25-50 years,Luxury,Supplier_34,Limited,12,Roads and highways,0.55,Standard,+91 7166009399
MAT2058,Acrylic,Insulation,Moderate,5-10 years,Economy,Supplier_54,In Stock,37,Airports,0.89,Eco-friendly,+91 9458310307
MAT2059,Foam,Facade,Mountain,50+ years,Economy,Supplier_28,Limited,56,Infrastructure,0.95,Standard,+91 8232645989
MAT2060,Rubber,Structural,Coastal,50+ years,Premium,Supplier_39,Out of Stock,37,Marine structures,0.99,Eco-friendly,+91 8458974196
MAT2061,Other,Decorative,Rural,50+ years,Economy,Supplier_41,Limited,3,Roads and highways,0.75,Eco-friendly,+91 7742047658
MAT2062,Limestone,Decorative,Mountain,10-25 years,Standard,Supplier_8,Limited,44,Commercial,0.23,Standard,+91 8464226483
MAT2063,Marble,Structural,Coastal,10-25 years,Premium,Supplier_48,Limited,39,Residential,0.64,Eco-friendly,+91 9115647592
MAT2064,Paint,Flooring,Coastal,50+ years,Premium,Supplier_43,Out of Stock,23,Roads and highways,0.1,Eco-friendly,+91 9038438301
MAT2065,Granite,Insulation,Hot,25-50 years,Economy,Supplier_89,In Stock,16,Industrial plants,0.69,Eco-friendly,+91 9969226517
MAT2066,Copper,Finishing,Urban,5-10 years,Premium,Supplier_90,Out of Stock,39,Tunnels,0.34,Eco-friendly,+91 8844758293
MAT2067,Ceramic Tile,Structural,Urban,50+ years,Standard,Supplier_46,Out of Stock,31,Commercial,0.71,Standard,+91 9553802633
MAT2068,Adhesive,Other,Urban,25-50 years,Luxury,Supplier_28,In Stock,17,Infrastructure,0.1,Standard,+91 8232645989
MAT2069,Brick,Insulation,Cold,10-25 years,Luxury,Supplier_24,In Stock,53,Commercial,0.93,Eco-friendly,+91 7116226044
MAT2070,Wood,Insulation,Other,25-50 years,Luxury,Supplier_22,Out of Stock,60,Airports,0.11,Standard,+91 9800188482
MAT2071,Clay,Facade,Cold,50+ years,Premium,Supplier_81,In Stock,9,Airports,0.49,Eco-friendly,+91 8900263885
MAT2072,Fiber,Decorative,Hot,50+ years,Premium,Supplier_66,Limited,5,Tunnels,0.03,Eco-friendly,+91 8512956476
MAT2073,Glass,Insulation,Dry,10-25 years,Premium,Supplier_19,In Stock,5,High-rise buildings,0.76,Standard,+91 7314006623
MAT2074,Cement,Facade,Hot,10-25 years,Economy,Supplier_18,Limited,48,Commercial,0.09,Standard,+91 8911997440
MAT2075,Steel,Decorative,Dry,5-10 years,Standard,Supplier_87,Out of Stock,41,Marine structures,0.79,Standard,+91 9193943710
MAT2076,Aluminum,Decorative,Other,5-10 years,Economy,Supplier_63,In Stock,22,Industrial plants,0.79,Standard,+91 8654346090
MAT2077,Gypsum,Facade,Coastal,5-10 years,Luxury,Supplier_79,Out of Stock,48,Marine structures,0.93,Eco-friendly,+91 9340848713
MAT2078,PVC,Structural,Coastal,5-10 years,Premium,Supplier_26,Limited,36,Other,0.78,Eco-friendly,+91 7207132227
MAT2079,Bitumen,Facade,Humid,5-10 years,Economy,Supplier_45,Out of Stock,56,Infrastructure,0.03,Eco-friendly,+91 9747014289
MAT2080,Asphalt,Other,Hot,10-25 years,Economy,Supplier_80,Limited,32,Infrastructure,0.34,Eco-friendly,+91 8234607783
MAT2081,Sandstone,Structural,Humid,5-10 years,Standard,Supplier_27,Out of Stock,4,Residential,0.97,Standard,+91 8524779487
MAT2082,Concrete,Structural,Cold,5-10 years,Economy,Supplier_23,Limited,32,Airports,0.04,Eco-friendly,+91 9315879498
MAT2083,Plaster,Finishing,Other,25-50 years,Luxury,Supplier_20,In Stock,27,Roads and highways,0.34,Eco-friendly,+91 7796737492
MAT2084,Vinyl,Finishing,Moderate,5-10 years,Standard,Supplier_84,Limited,36,Commercial,0.05,Standard,+91 9340399355
MAT2085,Laminate,Finishing,Moderate,50+ years,Economy,Supplier_41,Limited,21,Infrastructure,0.73,Standard,+91 7742047658
MAT2086,Bamboo,Finishing,Industrial,10-25 years,Standard,Supplier_51,In Stock,22,Airports,0.19,Standard,+91 8070304578
MAT2087,Recycled Plastic,Structural,Coastal,25-50 years,Luxury,Supplier_42,In Stock,60,High-rise buildings,0.21,Standard,+91 8406306174
MAT2088,Polycarbonate,Insulation,Rural,50+ years,Luxury,Supplier_77,Limited,43,Bridges,0.05,Eco-friendly,+91 9060217800
MAT2089,Acrylic,Insulation,Other,50+ years,Luxury,Supplier_98,In Stock,32,Marine structures,0.08,Eco-friendly,+91 9267705300
MAT2090,Foam,Insulation,Mountain,25-50 years,Premium,Supplier_16,Limited,21,Tunnels,0.92,Eco-friendly,+91 8065031990
MAT2091,Rubber,Finishing,Humid,50+ years,Standard,Supplier_86,In Stock,7,Other,0.37,Eco-friendly,+91 9450871641
MAT2092,Other,Finishing,Industrial,50+ years,Economy,Supplier_26,Limited,11,Tunnels,0.07,Eco-friendly,+91 7207132227
MAT2093,Limestone,Decorative,Other,25-50 years,Luxury,Supplier_10,In Stock,57,Other,0.32,Standard,+91 9321334334
MAT2094,Marble,Facade,Dry,50+ years,Economy,Supplier_57,In Stock,13,Residential,0.51,Eco-friendly,+91 9189872626
MAT2095,Paint,Insulation,Coastal,50+ years,Economy,Supplier_28,Limited,54,Residential,0.98,Standard,+91 8232645989
MAT2096,Granite,Facade,Rural,5-10 years,Premium,Supplier_64,Out of Stock,8,Residential,0.96,Standard,+91 7136693152
MAT2097,Copper,Insulation,Dry,5-10 years,Premium,Supplier_80,Limited,37,Bridges,0.29,Standard,+91 8234607783
MAT2098,Ceramic Tile,Structural,Cold,50+ years,Premium,Supplier_88,Out of Stock,18,High-rise buildings,0.91,Eco-friendly,+91 7610179969
MAT2099,Adhesive,Insulation,Urban,25-50 years,Economy,Supplier_70,Limited,37,Bridges,0.51,Eco-friendly,+91 8533177088
MAT2100,Brick,Finishing,Cold,25-50 years,Luxury,Supplier_82,Limited,8,Roads and highways,0.83,Standard,+91 9679030191
MAT2101,Wood,Finishing,Industrial,10-25 years,Economy,Supplier_5,Limited,10,Residential,0.88,Standard,+91 7740385731
MAT2102,Clay,Insulation,Dry,25-50 years,Standard,Supplier_35,Out of Stock,32,Other,0.18,Standard,+91 7672697773
MAT2103,Fiber,Facade,Rural,10-25 years,Luxury,Supplier_27,Out of Stock,39,Marine structures,0.63,Eco-friendly,+91 8524779487
MAT2104,Glass,Facade,Moderate,25-50 years,Premium,Supplier_65,Limited,17,Marine structures,0.21,Eco-friendly,+91 7085298648
MAT2105,Cement,Flooring,Cold,50+ years,Luxury,Supplier_24,In Stock,50,High-rise buildings,0.38,Eco-friendly,+91 7116226044
MAT2106,Steel,Flooring,Dry,10-25 years,Luxury,Supplier_11,Limited,50,Commercial,0.89,Standard,+91 7562411160
MAT2107,Aluminum,Structural,Humid,50+ years,Luxury,Supplier_89,Out of Stock,38,Bridges,0.47,Eco-friendly,+91 9969226517
MAT2108,Gypsum,Flooring,Rural,50+ years,Premium,Supplier_60,Out of Stock,44,Bridges,0.42,Eco-friendly,+91 7340314826
MAT2109,PVC,Facade,Coastal,5-10 years,Economy,Supplier_82,Out of Stock,54,Marine structures,0.96,Standard,+91 9679030191
MAT2110,Bitumen,Facade,Urban,10-25 years,Premium,Supplier_99,Limited,12,Residential,0.83,Eco-friendly,+91 7026320860
MAT2111,Asphalt,Finishing,Urban,50+ years,Premium,Supplier_26,In Stock,22,Bridges,0.8,Eco-friendly,+91 7207132227
MAT2112,Sandstone,Structural,Dry,50+ years,Luxury,Supplier_7,Limited,8,Airports,0.9,Eco-friendly,+91 7548899649
MAT2113,Concrete,Insulation,Mountain,10-25 years,Standard,Supplier_19,In Stock,23,Commercial,0.42,Standard,+91 7314006623
MAT2114,Plaster,Flooring,Other,10-25 years,Premium,Supplier_19,In Stock,42,Commercial,0.53,Standard,+91 7314006623
MAT2115,Vinyl,Decorative,Other,5-10 years,Economy,Supplier_12,In Stock,36,Roads and highways,0.83,Standard,+91 8882665594
MAT2116,Laminate,Finishing,Moderate,5-10 years,Economy,Supplier_21,Limited,54,Other,0.24,Eco-friendly,+91 8310234613
MAT2117,Bamboo,Decorative,Other,5-10 years,Premium,Supplier_42,Out of Stock,55,Bridges,0.98,Standard,+91 8406306174
MAT2118,Recycled Plastic,Decorative,Other,50+ years,Premium,Supplier_11,Out of Stock,40,Infrastructure,0.35,Standard,+91 7562411160
MAT2119,Polycarbonate,Structural,Other,10-25 years,Luxury,Supplier_80,Out of Stock,44,Infrastructure,0.35,Eco-friendly,+91 8234607783
MAT2120,Acrylic,Facade,Hot,25-50 years,Economy,Supplier_41,Limited,44,Bridges,0.18,Eco-friendly,+91 7742047658
MAT2121,Foam,Structural,Mountain,5-10 years,Economy,Supplier_77,Out of Stock,19,Airports,0.22,Standard,+91 9060217800
MAT2122,Rubber,Facade,Other,25-50 years,Economy,Supplier_50,In Stock,29,Industrial plants,0.14,Eco-friendly,+91 9224117961
MAT2123,Other,Structural,Dry,5-10 years,Luxury,Supplier_51,Out of Stock,40,Roads and highways,0.91,Standard,+91 8070304578
MAT2124,Limestone,Decorative,Mountain,10-25 years,Premium,Supplier_92,Limited,38,Bridges,0.24,Standard,+91 8403005864
MAT2125,Marble,Decorative,Rural,5-10 years,Standard,Supplier_81,Limited,34,Residential,0.56,Standard,+91 8900263885
MAT2126,Paint,Decorative,Urban,25-50 years,Standard,Supplier_7,Out of Stock,60,Tunnels,0.29,Eco-friendly,+91 7548899649
MAT2127,Granite,Structural,Mountain,5-10 years,Luxury,Supplier_8,In Stock,5,Infrastructure,0.07,Standard,+91 8464226483
MAT2128,Copper,Decorative,Other,25-50 years,Premium,Supplier_31,Out of Stock,8,High-rise buildings,0.37,Standard,+91 9023009642
MAT2129,Ceramic Tile,Insulation,Rural,50+ years,Premium,Supplier_48,Out of Stock,16,Bridges,0.75,Standard,+91 9115647592
MAT2130,Adhesive,Decorative,Cold,50+ years,Luxury,Supplier_12,Out of Stock,60,Roads and highways,0.89,Eco-friendly,+91 8882665594
MAT2131,Brick,Other,Dry,25-50 years,Premium,Supplier_90,Limited,22,Airports,0.7,Eco-friendly,+91 8844758293
MAT2132,Wood,Finishing,Urban,5-10 years,Luxury,Supplier_40,Out of Stock,19,Marine structures,0.99,Standard,+91 9781709582
MAT2133,Clay,Structural,Urban,5-10 years,Standard,Supplier_44,In Stock,7,Commercial,0.38,Eco-friendly,+91 9090351901
MAT2134,Fiber,Finishing,Mountain,25-50 years,Luxury,Supplier_45,Out of Stock,8,High-rise buildings,0.68,Standard,+91 9747014289
MAT2135,Glass,Flooring,Dry,5-10 years,Economy,Supplier_68,In Stock,60,Marine structures,0.49,Eco-friendly,+91 7549116721
MAT2136,Cement,Finishing,Humid,5-10 years,Economy,Supplier_93,Limited,39,Infrastructure,0.76,Standard,+91 7108254575
MAT2137,Steel,Insulation,Moderate,10-25 years,Premium,Supplier_87,Limited,54,Other,0.71,Standard,+91 9193943710
MAT2138,Aluminum,Facade,Urban,10-25 years,Economy,Supplier_23,Out of Stock,36,Bridges,0.04,Eco-friendly,+91 9315879498
MAT2139,Gypsum,Facade,Coastal,25-50 years,Premium,Supplier_91,Limited,26,Industrial plants,0,Standard,+91 9064495443
MAT2140,PVC,Decorative,Cold,25-50 years,Economy,Supplier_72,Limited,20,Tunnels,0.75,Eco-friendly,+91 7818119199
MAT2141,Bitumen,Structural,Moderate,25-50 years,Premium,Supplier_71,Out of Stock,20,Residential,0.11,Standard,+91 9665352711
MAT2142,Asphalt,Insulation,Hot,25-50 years,Economy,Supplier_76,In Stock,32,Residential,0.96,Standard,+91 7852225914
MAT2143,Sandstone,Decorative,Dry,5-10 years,Economy,Supplier_89,Out of Stock,32,Industrial plants,0.77,Eco-friendly,+91 9969226517
MAT2144,Concrete,Insulation,Industrial,5-10 years,Luxury,Supplier_20,Out of Stock,30,Infrastructure,0.18,Standard,+91 7796737492
MAT2145,Plaster,Structural,Hot,50+ years,Premium,Supplier_30,Limited,55,Other,0.91,Standard,+91 9297528863
MAT2146,Vinyl,Other,Urban,50+ years,Standard,Supplier_100,In Stock,32,Roads and highways,0.64,Standard,+91 9271768077
MAT2147,Laminate,Flooring,Humid,25-50 years,Luxury,Supplier_20,Out of Stock,58,Roads and highways,0.74,Standard,+91 7796737492
MAT2148,Bamboo,Decorative,Industrial,10-25 years,Luxury,Supplier_59,In Stock,32,Infrastructure,0.88,Standard,+91 8073945840
MAT2149,Recycled Plastic,Decorative,Moderate,10-25 years,Economy,Supplier_74,Out of Stock,27,Commercial,0.91,Standard,+91 7134476577
MAT2150,Polycarbonate,Flooring,Mountain,50+ years,Economy,Supplier_58,In Stock,50,Infrastructure,0.98,Standard,+91 8538848385
MAT2151,Acrylic,Other,Industrial,10-25 years,Luxury,Supplier_66,Limited,28,Other,0.12,Standard,+91 8512956476
MAT2152,Foam,Other,Humid,50+ years,Premium,Supplier_94,In Stock,46,Bridges,0.18,Eco-friendly,+91 9479368062
MAT2153,Rubber,Decorative,Cold,25-50 years,Standard,Supplier_31,In Stock,49,Infrastructure,0.29,Standard,+91 9023009642
MAT2154,Other,Insulation,Dry,5-10 years,Premium,Supplier_82,Limited,35,Other,0.77,Standard,+91 9679030191
MAT2155,Limestone,Facade,Other,25-50 years,Premium,Supplier_45,In Stock,34,Marine structures,0.68,Eco-friendly,+91 9747014289
MAT2156,Marble,Decorative,Mountain,5-10 years,Economy,Supplier_99,Out of Stock,55,Marine structures,0.68,Standard,+91 7026320860
MAT2157,Paint,Insulation,Coastal,10-25 years,Luxury,Supplier_67,Out of Stock,16,Tunnels,0.51,Eco-friendly,+91 9809772815
MAT2158,Granite,Other,Dry,10-25 years,Premium,Supplier_97,Limited,12,Commercial,0.06,Eco-friendly,+91 7508473815
MAT2159,Copper,Other,Industrial,25-50 years,Standard,Supplier_13,Out of Stock,4,Infrastructure,0.77,Eco-friendly,+91 8348536286
MAT2160,Ceramic Tile,Flooring,Dry,5-10 years,Luxury,Supplier_52,In Stock,33,Other,0.32,Eco-friendly,+91 9350399941
MAT2161,Adhesive,Decorative,Coastal,10-25 years,Economy,Supplier_15,Limited,12,Other,0.84,Eco-friendly,+91 9855764195
MAT2162,Brick,Flooring,Dry,50+ years,Standard,Supplier_70,Limited,23,Other,0.74,Eco-friendly,+91 8533177088
MAT2163,Wood,Flooring,Cold,25-50 years,Economy,Supplier_59,Limited,47,Airports,0.3,Eco-friendly,+91 8073945840
MAT2164,Clay,Other,Hot,50+ years,Premium,Supplier_65,In Stock,10,Tunnels,0.14,Eco-friendly,+91 7085298648
MAT2165,Fiber,Structural,Dry,10-25 years,Luxury,Supplier_24,In Stock,38,Other,0.19,Eco-friendly,+91 7116226044
MAT2166,Glass,Insulation,Mountain,5-10 years,Luxury,Supplier_31,In Stock,12,Airports,0.74,Standard,+91 9023009642
MAT2167,Cement,Flooring,Mountain,5-10 years,Economy,Supplier_61,Out of Stock,14,Bridges,1,Eco-friendly,+91 8696176323
MAT2168,Steel,Other,Moderate,25-50 years,Luxury,Supplier_49,Out of Stock,43,Commercial,0.79,Standard,+91 7981454092
MAT2169,Aluminum,Facade,Coastal,50+ years,Luxury,Supplier_61,Limited,3,Roads and highways,0.13,Eco-friendly,+91 8696176323
MAT2170,Gypsum,Insulation,Dry,10-25 years,Luxury,Supplier_28,In Stock,2,Industrial plants,0.55,Standard,+91 8232645989
MAT2171,PVC,Other,Moderate,5-10 years,Luxury,Supplier_90,In Stock,38,Commercial,0.19,Eco-friendly,+91 8844758293
MAT2172,Bitumen,Flooring,Urban,25-50 years,Standard,Supplier_54,Out of Stock,39,Marine structures,0.29,Eco-friendly,+91 9458310307
MAT2173,Asphalt,Finishing,Hot,25-50 years,Luxury,Supplier_100,Limited,31,Industrial plants,0.68,Eco-friendly,+91 9271768077
MAT2174,Sandstone,Structural,Rural,5-10 years,Economy,Supplier_65,In Stock,2,Marine structures,0.68,Standard,+91 7085298648
MAT2175,Concrete,Flooring,Humid,25-50 years,Economy,Supplier_39,Out of Stock,23,Marine structures,0.22,Eco-friendly,+91 8458974196
MAT2176,Plaster,Facade,Humid,5-10 years,Luxury,Supplier_82,Out of Stock,44,Bridges,0.75,Eco-friendly,+91 9679030191
MAT2177,Vinyl,Facade,Mountain,25-50 years,Standard,Supplier_40,In Stock,41,Residential,0.41,Eco-friendly,+91 9781709582
MAT2178,Laminate,Flooring,Moderate,50+ years,Economy,Supplier_100,Out of Stock,52,Airports,0.01,Eco-friendly,+91 9271768077
MAT2179,Bamboo,Decorative,Hot,10-25 years,Premium,Supplier_28,Limited,14,Infrastructure,0.79,Standard,+91 8232645989
MAT2180,Recycled Plastic,Decorative,Cold,5-10 years,Luxury,Supplier_92,Out of Stock,42,Marine structures,0.3,Eco-friendly,+91 8403005864
MAT2181,Polycarbonate,Other,Rural,25-50 years,Standard,Supplier_52,In Stock,7,Infrastructure,0.46,Eco-friendly,+91 9350399941
MAT2182,Acrylic,Decorative,Urban,50+ years,Premium,Supplier_28,Limited,14,High-rise buildings,0.76,Standard,+91 8232645989
MAT2183,Foam,Flooring,Cold,25-50 years,Premium,Supplier_77,Out of Stock,30,Roads and highways,0.68,Eco-friendly,+91 9060217800
MAT2184,Rubber,Flooring,Coastal,25-50 years,Economy,Supplier_57,Out of Stock,11,Airports,0.17,Standard,+91 9189872626
MAT2185,Other,Finishing,Other,5-10 years,Economy,Supplier_14,Limited,30,Other,0.16,Standard,+91 8073534258
MAT2186,Limestone,Facade,Coastal,5-10 years,Luxury,Supplier_76,Limited,54,Bridges,0.98,Standard,+91 7852225914
MAT2187,Marble,Facade,Moderate,10-25 years,Premium,Supplier_40,Out of Stock,7,Commercial,0.25,Standard,+91 9781709582
MAT2188,Paint,Structural,Dry,50+ years,Premium,Supplier_68,In Stock,41,Bridges,0.81,Standard,+91 7549116721
MAT2189,Granite,Decorative,Dry,50+ years,Standard,Supplier_17,Out of Stock,35,Bridges,0.14,Standard,+91 8388837996
MAT2190,Copper,Structural,Moderate,5-10 years,Economy,Supplier_32,Limited,32,Marine structures,0.84,Eco-friendly,+91 9984893047
MAT2191,Ceramic Tile,Facade,Mountain,10-25 years,Luxury,Supplier_55,In Stock,16,Other,0.47,Standard,+91 9963010084
MAT2192,Adhesive,Flooring,Dry,50+ years,Economy,Supplier_7,Limited,6,Other,0.39,Standard,+91 7548899649
MAT2193,Brick,Structural,Urban,5-10 years,Luxury,Supplier_6,Limited,3,Marine structures,0.03,Standard,+91 8728518031
MAT2194,Wood,Decorative,Hot,5-10 years,Economy,Supplier_47,Limited,56,Marine structures,0.25,Eco-friendly,+91 7383612833
MAT2195,Clay,Other,Hot,5-10 years,Luxury,Supplier_70,In Stock,6,Other,0.26,Eco-friendly,+91 8533177088
MAT2196,Fiber,Finishing,Dry,25-50 years,Economy,Supplier_34,In Stock,16,Industrial plants,0.98,Eco-friendly,+91 7166009399
MAT2197,Glass,Insulation,Mountain,25-50 years,Premium,Supplier_97,In Stock,56,Tunnels,0.43,Standard,+91 7508473815
MAT2198,Cement,Finishing,Other,25-50 years,Premium,Supplier_19,Out of Stock,9,Commercial,0.36,Standard,+91 7314006623
MAT2199,Steel,Structural,Cold,10-25 years,Economy,Supplier_33,Out of Stock,36,Industrial plants,0.66,Eco-friendly,+91 8687011225
MAT2200,Aluminum,Decorative,Industrial,25-50 years,Premium,Supplier_50,Out of Stock,57,Industrial plants,0.87,Standard,+91 9224117961
MAT2201,Gypsum,Facade,Urban,5-10 years,Luxury,Supplier_33,In Stock,23,Commercial,0.75,Standard,+91 8687011225
MAT2202,PVC,Insulation,Mountain,50+ years,Luxury,Supplier_85,In Stock,5,Roads and highways,0.4,Standard,+91 7128338124
MAT2203,Bitumen,Insulation,Mountain,50+ years,Standard,Supplier_61,In Stock,53,Residential,0.63,Standard,+91 8696176323
